# Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
17,monday,young,male,higher education,employee,junior,car,owner,aged,no,residential,unknown,tangent flat,no junction,asphalt,dry,daylight,normal,parked vehicle,2,2,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,backward,slight
17,monday,adult,male,junior high,employee,veteran,bus,owner,old,no,office,undivided,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,2,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,overtaking,slight
17,monday,young,male,junior high,employee,junior,truck,owner,unknown,no,recreational,other,unknown,no junction,asphalt,dry,daylight,normal,roadside object,2,2,straight,driver,male,adult,3,driver,unknown,none,lane change left,serious
1,sunday,young,male,junior high,employee,experienced,bus,governmental,unknown,no,office,other,tangent grade,y shape,dirt,dry,lights,normal,vehicle,2,2,straight,pedestrian,female,young,3,driver,normal,none,lane change right,slight
1,sunday,young,male,junior high,employee,intermediate,unknown,owner,old,no,industrial,other,tangent flat,y shape,asphalt,dry,lights,normal,vehicle,2,2,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,overtaking,slight
17,wednesday,young,male,junior high,employee,intermediate,car,owner,unknown,no,residential,undivided,tangent flat,crossing,unknown,dry,daylight,normal,vehicle,1,1,backward,driver,female,young,3,driver,normal,none,other,slight
17,friday,young,male,junior high,employee,intermediate,car,governmental,aged,no,residential,other,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,u_turn,unknown,unknown,unknown,unknown,unknown,normal,none,priority violation,slight
17,friday,young,male,junior high,employee,veteran,truck,owner,recent,no,industrial,other,tangent flat,y shape,dirt,dry,daylight,normal,parked vehicle,2,1,straight,pedestrian,male,minor,3,driver,normal,nearside crossing,lane change right,slight
17,friday,young,male,junior high,employee,junior,car,owner,used,no,residential,undivided,tangent flat,y shape,asphalt,dry,daylight,normal,parked vehicle,2,1,u_turn,passenger,male,young,3,driver,normal,none,backward,serious
14,saturday,young,male,higher education,owner,junior,bus,owner,unknown,no,residential,other,tangent flat,no junction,asphalt,dry,daylight,normal,animal,2,1,rollover,unknown,unknown,unknown,unknown,unknown,normal,none,lane change left,serious
14,saturday,adult,male,higher education,employee,unlicensed,car,owner,unknown,no,office,undivided,tangent flat,no junction,dirt,dry,daylight,normal,animal,2,1,straight,driver,male,young,3,driver,normal,none,pedestrian violation,serious
17,thursday,young,male,junior high,employee,junior,bus,owner,used,no,office,double carriageway,escarpment,no junction,asphalt,dry,daylight,normal,animal,2,2,straight,unknown,unknown,unknown,unknown,driver,normal,none,distance,slight
17,thursday,adult,male,junior high,employee,experienced,truck,owner,aged,no,office,other,tangent flat,no junction,asphalt,dry,daylight,normal,animal,2,2,waiting,unknown,unknown,unknown,unknown,other,normal,none,priority violation,slight
17,thursday,adult,male,junior high,employee,veteran,car,owner,recent,no,office,undivided,escarpment,no junction,asphalt,dry,daylight,normal,animal,2,2,straight,driver,female,young,3,driver,normal,none,distance,serious
